id,kode_accurate,woo_product_id,woo_sku_full,woo_name,is_active,created_at,updated_at,confidence_score,match_method,woo_variation_id,needs_review,triggered_by
40,100978,9445,100978,MOTHERBOARD MSI PRO B650M-P AM5 DDR5 - mAtx,true,2026-05-18 06:39:13.929512+00,2026-05-22 10:33:53.556017+00,100,sku_exact,,false,
41,100977,9443,100977,MOTHERBOARD ASUS TUF GAMING B760M-E D4 DDR4 LGA1700 - mAtx,true,2026-05-18 06:39:13.929512+00,2026-05-22 10:33:53.556017+00,100,sku_exact,,false,
42,100468,9203,100468,"MONITOR LG 27MR400-B 27"" FLAT IPS FHD (1920x1080) 100Hz 99% sRGB",true,2026-05-18 06:39:13.929512+00,2026-05-19 08:13:30.63379+00,100,sku_exact,,false,
43,A1404VA-VIPS352,9018,A1404VA-VIPS352,ASUS VIVOBOOK GO 14 A1404VA VIPS351M VIPS352M INTEL I3-1315U 8GB 512GB 14″ FHD IPS WIN 11 HOME + OHS 2021 + M365,true,2026-05-18 06:39:13.929512+00,2026-05-20 09:11:50.694558+00,100,sku_exact,,false,
44,100841,8760,100841,MOTHERBOARD MSI B760M GAMING PLUS WIFI LGA1700 DDR5 - mAtx,true,2026-05-18 06:39:13.929512+00,2026-05-19 08:13:30.63379+00,100,sku_exact,,false,
45,100746,8564,100746,MOTHERBOARD DIGITAL ALLIANCE H610M DDR4 LGA1700 - mAtx,true,2026-05-18 06:39:13.929512+00,2026-05-19 08:13:30.63379+00,100,sku_exact,,false,
46,100671,7707,100671,"MONITOR XYZ X-EYE 22"" FLAT LCD FHD (1920x1080) 75Hz",true,2026-05-18 06:39:13.929512+00,2026-05-22 10:33:53.556017+00,100,sku_exact,,false,
47,100670,7705,100670,"MONITOR XYZ X-EYE 19"" FLAT LCD WXGA+ (1440x900) 60Hz",true,2026-05-18 06:39:13.929512+00,2026-05-22 10:33:53.556017+00,100,sku_exact,,false,
48,100420,7356,100420,"MONITOR SAMSUNG ODYSSEY G5 G50D 27"" FLAT IPS QHD (2560x1440) 180Hz 99% sRGB - (S27DG502EE)",true,2026-05-18 06:39:13.929512+00,2026-05-19 08:13:30.63379+00,100,sku_exact,,false,
49,100417,7327,100417,"MONITOR SAMSUNG ODYSSEY G5 G55T 34"" CURVED VA UWQHD (3440x1440) 165HZ 72% NTSC - (C34G55TWWE)",true,2026-05-18 06:39:13.929512+00,2026-05-19 08:13:30.63379+00,100,sku_exact,,false,
50,A1404VA-VIPS712,5962,A1404VA-VIPS712,ASUS VIVOBOOK GO 14 A1404VA VIPS711 VIPS712 INTEL I7-1355U 16GB 1TB 14″ FHD IPS WIN 11 HOME + OHS 2021,true,2026-05-18 06:39:13.929512+00,2026-05-20 09:11:50.694558+00,100,sku_exact,,false,
51,100166,4722,2511000068 / 2511000069 / 100166,CASING DEEPCOOL CH170 DIGITAL SFF - mini ITX,true,2026-05-18 06:39:13.929512+00,2026-05-22 10:33:53.556017+00,95,sku_multi,,false,
52,100091,3646,100091,MOTHERBOARD MSI PRO H510M-B DDR4 LGA1200 - mAtx,true,2026-05-18 06:39:13.929512+00,2026-05-22 10:33:53.556017+00,100,sku_exact,,false,
