NO,KODE ACCURATE,NAMA BARANG,UPC/BARCODE,NAMA KATEGORI,NAMA BRAND,STATUS,STOK
207,100842,CONTROLLER GAMEMAX ARGB V4.0 WHITE,6931858786294,,,TIDAK,0
208,101402,COOLER DEEPCOOL AG300 SUPPORT LGA1700,,,,YA,0
209,101163,COOLER MSI CORELIQIUD A13 360,101163,,MSI,YA,0
210,101162,LIQUID COOLER MSI CORELIQUID A13 240 ARGB - BLACK,4711377273763,CPU COOLER,MSI,TIDAK,0
211,100870,COOLING PAD BREEZE B175 UP TO 17 INCH - BLACK,8994067217513,,,YA,0
212,100321,COOLINGPAD FANTECH NC11 NOTEBOOK - BLACK,100321,COOLINGPAD,FANTECH,YA,0
213,101092,COOLINGPAD FANTECH NC12 NOTEBOOK - BLACK,101092,COOLINGPAD,FANTECH,YA,0
214,100322,COOLINGPAD FANTECH NC13 NOTEBOOK  - BLACK,100322,COOLINGPAD,FANTECH,YA,0
215,100347,COOLINGPAD FANTECH NC20 NOTEBOOK  - BLACK,100347,COOLINGPAD,FANTECH,YA,0
216,101093,COOLINGPAD FANTECH NC30 NOTEBOOK - GREY,101093,COOLINGPAD,FANTECH,YA,0
217,100230,COOLINGPAD REXUS BREEZE B140 BLACK,100230,COOLINGPAD,REXUS,YA,0
218,100231,COOLINGPAD REXUS BREEZE B140 SILVER,100231,COOLINGPAD,REXUS,YA,0
219,100734,LIQUID COOLER COUGAR POSEIDON GT 360 RGB - BLACK,4710483773617,AIO LIQUID COOLER,COUGAR,TIDAK,3
220,101510,FAN PROCESSOR AEROCOOL CYLON 4F ARGB - BLACK,4710562752724,AIO LIQUID COOLER,AEROCOOL,TIDAK,1
221,101509,FAN PROCESSOR AEROCOOL MIRAGE 5 ARGB - BLACK,4710562756036,AIO LIQUID COOLER,AEROCOOL,TIDAK,3
222,101488,CPU COOLER CUBE GAMING SHARPEN PROCESSOR COOLING,,,,YA,0
223,101470,CPU COOLER DRAKFLAS U400 A-RGB WHITE,,,,YA,0
224,101469,CPU COOLER DRAKFLASH U400 A-RGB BLACK,,FAN CASING,ALSEYE,YA,0
225,101463,CPU COOLER G6 DUAL BLACK,,,,YA,0
226,101464,CPU COOLER G6 DUAL WHITE,,,,YA,0
227,101434,CPU COOLER GAMEMAX SIGMA 550 INFINITY BLACK,6931858779937,,,YA,0
228,101435,CPU COOLER GAMEMAX SIGMA 550 INFINITY WHITE,6931858779944,,,YA,0
229,101465,CPU COOLER RT620 DIGITAL BLACK,,,,YA,0
230,101461,CPU COOLER RZ620 AIR BLACK,,,,YA,0
231,101462,CPU COOLER RZ620 AIR WHITE,,,,YA,0
232,101301,DEEPCOOL AK400 DIGITAL BLACK SUPPORT LGA1700,,,,YA,0
233,101302,DEEPCOOL CASE CC560 V2 WHITE,,,,YA,0
234,101303,DEEPCOOL PSU PL550D 550WATT 80+BRONZE ALL FLAT CABLE,,PSU 550W,DEEPCOOL,YA,0
235,100180,RAM LONGDIMM DDR3 DIGITAL ALLIANCE 4GB (1X4GB) 1600Mhz,6923172522108,LONGDIMM DDR3,DIGITAL ALLIANCE,TIDAK,0
236,100440,RAM LONGDIMM DDR3 DIGITAL ALLIANCE 8GB (1X8GB) 1600Mhz,6923172535092,LONGDIMM DDR3,DIGITAL ALLIANCE,TIDAK,1
237,100034,DIGITAL ALLIANCE RAM LONGDIMM DDR4 16GB 3200Mhz,100034,LONGDIMM DDR4,DIGITAL ALLIANCE,YA,0
238,100445,DIGITAL ALLIANCE RAM LONGDIMM DDR4 8GB 3200Mhz,100445,LONGDIMM DDR4,DIGITAL ALLIANCE,YA,0
239,100354,DISPLAY BOX KANATA,,,,YA,0
240,100052,DVR HIKVISION 16 CHANNEL 4.0MP (DS7216HQH1-M1E),,,,YA,0
241,101223,EARPHONE LOGITECH G333 GAMING BLACK,,,LOGITECH,YA,0
242,101224,EARPHONE LOGITECH G333 GAMING WHITE,101224,,LOGITECH,YA,0
243,100828,FAN CASING ACER E-MACHINE GADGET AC1236 RGB,100282,FAN CASING,ACER,YA,0
244,100812,FAN CASING ALSEYE HALO SERIES 5.0 4 FAN,4897059874203,FAN CASING,ALSEYE,YA,0
245,100813,FAN CASING ALSEYE PENTAGON 3 FAN RGB,4897059872452,FAN CASING,ALSEYE,TIDAK,2
246,100817,FAN CASING ALSEYE XTREME X12 GR RGB,4897059872520,FAN CASING,ALSEYE,YA,0
247,100193,FAN CASING DIGITAL ALLIANCE COCO 1 IN 1 NON-RGB NORMAL - BLACK,100193,FAN CASING,DIGITAL ALLIANCE,TIDAK,0
248,100026,FAN CASING DIGITAL ALLIANCE COCO 1 IN 1 NON-RGB NORMAL - WHITE,KC10206,FAN CASING,DIGITAL ALLIANCE,TIDAK,2
249,101407,FAN CASING GAMEN GCF110 1 IN 1 RGB NORMAL - BLACK,,FAN CASING,GAMEN,TIDAK,0
250,101408,FAN CASING GAMEN GCF110 1 IN 1 RGB NORMAL - WHITE,,FAN CASING,GAMEN,TIDAK,0
251,101570,FAN CASING LEXA GAMING MW-120Dy RGB BLACK,,FAN CASING,LEXA GAMING,YA,0
252,101028,FAN CASING RAPTOR STARLITE 1 IN 1 ARGB NORMAL - BLACK,,FAN CASING,POWER UP,YA,0
253,101029,FAN CASING RAPTOR STARLITE ARGB SYNC WHITE,,FAN CASING,POWER UP,YA,0
254,100177,FAN CASING VENOMRX RHOMBUS 1 IN 1 ARGB - BLACK,100177,FAN CASING,VENOMRX,TIDAK,0
255,100178,FAN CASING VENOMRX RHOMBUS 1 IN 1 ARGB NORMAL - WHITE,100178,FAN CASING,VENOMRX,TIDAK,4
256,100790,FAN CASING VENOMRX RHOMBUS 3 IN 1 ARGB NORMAL - BLACK,100790,FAN CASING,VENOMRX,TIDAK,0
257,100791,FAN CASING VENOMRX RHOMBUS 3 IN 1 ARGB NORMAL - WHITE,100791,FAN CASING,VENOMRX,TIDAK,0
258,101487,FAN CPU CUBE GAMING STORM V2 DUAL FAN BLACK 12CM ARGB-UNIVERSAL SOCKET,,,,YA,0
259,101232,FAN PROCESSOR COUGAR FORZA 50,,,COUGAR,YA,0
260,101480,FAN PROCESSOR CUBE GAMING ILLUMINE DUAL FAN-MIRROR RGB TOP COVER-6 COPPER HEAT PIPES-UNIVERSAL SOCKET (AM5 READY),,,,YA,0
261,101481,FAN PROCESSOR CUBE GAMING ILLUMINE SINGLE FAN-MIRROR RGB TOP COVER-4 COPPER HEAT PIPES-UNIVERSAL SOCKET (AM5 READY),,,,YA,0
262,100165,FAN PROCESSOR DEEPCOOL AG200 SUPPORT LGA1700,100165,,,YA,0
263,100162,FAN PROCESSOR DEEPCOOL AG400 A-RGB SUPPORT LGA1700,100162,CPU COOLER,DEEPCOOL,YA,0
264,100163,FAN PROCESSOR DEEPCOOL AG400 A-RGB WHITE SUPPORT LGA1700,6933412727781,CPU COOLER,DEEPCOOL,YA,0
265,100164,FAN PROCESSOR DEEPCOOL AG400 DIGITAL BLACK A-RGB,6933412728603,,,YA,0
266,100792,FAN PROCESSOR DEEPCOOL AG400 LED SUPPORT LGA1700 - BLACK,6933412727583,CPU COOLER,DEEPCOOL,TIDAK,1
267,100173,FAN PROCESSOR DEEPCOOL CK11509 - STANDART,100173,FAN PROCESSOR,DEEPCOOL,YA,0
268,101551,FAN PROCESSOR DIGITAL ALLIANCE AIR COOLER DA1700 FOR INTEL,,CPU COOLER,DIGITAL ALLIANCE,TIDAK,1
269,100377,FANTECH SET COMBO KM103 BLACK,6972661282016,OFFICE COMBO WIRED,FANTECH,TIDAK,2
270,100308,FANTECH MOUSEPAD VIGIL MP256 BASIC - BLACK,100308,MOUSEPAD BASIC,FANTECH,YA,0
271,100376,FANTECH POWER BUNDLE 5 IN 1 GAMING COMBO - BLACK,100376,GAMING COMBO WIRED,FANTECH,YA,0
272,101085,FANTECH POWER BUNDLE 5 IN 1 GAMING COMBO - PINK,,GAMING COMBO WIRED,FANTECH,YA,0
273,101086,FANTECH POWER BUNDLE 5 IN 1 GAMING COMBO - WHITE,,GAMING COMBO WIRED,FANTECH,YA,0
274,100375,FANTECH POWERPACK 3 IN 1 GAMING COMBO - BLACK,6972661282061,GAMING COMBO WIRED,FANTECH,YA,0
275,100411,FANTECH WS414 ADJUSTABLE RISING DESK BLACK,100411,MEJA GAMING,FANTECH,YA,0
276,100632,FLASHDISK SANDISK CRUZER BLADE 128GB USB2.0,100632,FLASHDISK,SANDISK,TIDAK,1
277,100653,FLASHDISK SANDISK CRUZER BLADE 16GB USB2.0,619659000431,FLASHDISK,SANDISK,TIDAK,1
278,100654,FLASHDISK SANDISK CRUZER BLADE 32GB USB 2.0,100654,FLASHDISK,SANDISK,TIDAK,0
279,100655,FLASHDISK SANDISK CRUZER BLADE 64GB USB2.0,100655,FLASHDISK,SANDISK,YA,0
280,100649,FLASHDISK SANDISK CRUZER BLADE 8GB BLACK,100649,FLASHDISK,SANDISK,TIDAK,0
281,100012,FREE MEDIA 4x6 (HS CODE : 4811.90.99),,,,YA,0
